Zürich,261011,11,Rathaus,261,36
Zürich,261012,12,Hochschulen,261,48
Zürich,261013,13,Lindenhof,261,27
Zürich,261014,14,City,261,57
Zürich,261021,21,Wollishofen,261,427
Zürich,261023,23,Leimbach,261,292
Zürich,261024,24,Enge,261,178
Zürich,261031,31,Alt-Wiedikon,261,169
Zürich,261033,33,Friesenberg,261,530
Zürich,261034,34,Sihlfeld,261,166
Zürich,261041,41,Werd,261,30
Zürich,261042,42,Langstrasse,261,121
Zürich,261044,44,Hard,261,139
Zürich,261051,51,Gewerbeschule,261,73
Zürich,261052,52,Escher Wyss,261,127
Zürich,261061,61,Unterstrass,261,247
Zürich,261063,63,Oberstrass,261,264
Zürich,261071,71,Fluntern,261,284
Zürich,261072,72,Hottingen,261,505
Zürich,261073,73,Hirslanden,261,219
Zürich,261074,74,Witikon,261,493
Zürich,261081,81,Seefeld,261,67
Zürich,261082,82,Mühlebach,261,64
Zürich,261083,83,Weinegg,261,175
Zürich,261091,91,Albisrieden,261,460
Zürich,261092,92,Altstetten,261,746
Zürich,261101,101,Höngg,261,698
Zürich,261102,102,Wipkingen,261,210
Zürich,261111,111,Affoltern,261,605
Zürich,261115,115,Oerlikon,261,268
Zürich,261119,119,Seebach,261,471
Zürich,261121,121,Saatlen,261,113
Zürich,261122,122,Schwamendingen-Mitte,261,279
Zürich,261123,123,Hirzenbach,261,205
